No.,Time,Source,Destination,Protocol,Length,Info
3502,10.782165,104.198.218.190,10.1.10.11,TLSv1.2,203,"Application Data, Application Data"
3525,10.843001,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3531,10.866238,104.198.218.190,10.1.10.11,TLSv1.2,129,Application Data
3548,10.919818,104.198.218.190,10.1.10.11,TLSv1.2,133,Application Data
3560,10.938328,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3590,11.012893,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3596,11.036282,104.198.218.190,10.1.10.11,TLSv1.2,142,Application Data
3616,11.079803,104.198.218.190,10.1.10.11,TLSv1.2,123,Application Data
3628,11.102926,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3659,11.182802,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3692,11.272917,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3699,11.281638,104.198.218.190,10.1.10.11,TLSv1.2,142,Application Data
3713,11.326216,104.198.218.190,10.1.10.11,TLSv1.2,289,"Application Data, Application Data, Application Data"
3725,11.352549,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3730,11.372076,104.198.218.190,10.1.10.11,TLSv1.2,380,"Application Data, Application Data, Application Data, Application Data"
3745,11.428443,104.198.218.190,10.1.10.11,TLSv1.2,147,Application Data
3759,11.445271,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3769,11.473946,104.198.218.190,10.1.10.11,TLSv1.2,291,"Application Data, Application Data, Application Data"
3794,11.530337,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3823,11.614431,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3825,11.617162,104.198.218.190,10.1.10.11,TLSv1.2,150,Application Data
3839,11.661784,104.198.218.190,10.1.10.11,TLSv1.2,291,"Application Data, Application Data, Application Data"
3854,11.702914,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3883,11.782868,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3885,11.783605,104.198.218.190,10.1.10.11,TLSv1.2,150,Application Data
3901,11.829805,104.198.218.190,10.1.10.11,TLSv1.2,299,"Application Data, Application Data, Application Data"
3919,11.872639,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3920,11.874362,104.198.218.190,10.1.10.11,TLSv1.2,227,"Application Data, Application Data"
3945,11.949897,104.198.218.190,10.1.10.11,TLSv1.2,150,Application Data
3953,11.953224,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
3961,11.996787,104.198.218.190,10.1.10.11,TLSv1.2,131,Application Data
3983,12.043209,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4013,12.122997,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4017,12.14015,104.198.218.190,10.1.10.11,TLSv1.2,150,Application Data
4039,12.187607,104.198.218.190,10.1.10.11,TLSv1.2,135,Application Data
4052,12.212889,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4082,12.292838,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4085,12.297879,104.198.218.190,10.1.10.11,TLSv1.2,150,Application Data
4095,12.341705,104.198.218.190,10.1.10.11,TLSv1.2,313,"Application Data, Application Data, Application Data"
4113,12.382895,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4138,12.459551,104.198.218.190,10.1.10.11,TLSv1.2,159,Application Data
4147,12.463834,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4159,12.504831,104.198.218.190,10.1.10.11,TLSv1.2,305,"Application Data, Application Data, Application Data"
4177,12.559242,104.198.218.190,10.1.10.11,TLSv1.2,166,Application Data
4186,12.562555,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
